"Dostopnost izbranih dobrin, po starostnih skupinah in spolu, Slovenija, letno"

"SPOL";"STAROSTNE SKUPINE";"DOBRINA";"MERITVE";"2014";"2015";"2016";"2017";"2018"
"Moški";"46-55 let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz finanènih razlogov";9;6;5;8;7
"Moški";"46-55 let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz drugih razlogov";1;1;1;3;4
"Moški";"46-55 let";"Uporaba interneta doma";"Da";80;83;87;88;88
"Moški";"46-55 let";"Uporaba interneta doma";"Ne, iz finanènih razlogov";3;4;3;3;3
"Moški";"46-55 let";"Uporaba interneta doma";"Ne, iz drugih razlogov";16;14;10;9;9
"Moški";"56-65 let";"Nova oblaèila";"Da";84;92;93;92;94
"Moški";"56-65 let";"Nova oblaèila";"Ne, iz finanènih razlogov";14;7;6;8;5
"Moški";"56-65 let";"Nova oblaèila";"Ne, iz drugih razlogov";2;1;1;0;1
"Moški";"56-65 let";"Dva para èevljev";"Da";98;99;99;98;98
"Moški";"56-65 let";"Dva para èevljev";"Ne, iz finanènih razlogov";2;1;1;2;1
"Moški";"56-65 let";"Dva para èevljev";"Ne, iz drugih razlogov";0;0;0;0;1
"Moški";"56-65 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Da";78;81;89;90;90
"Moški";"56-65 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz finanènih razlogov";13;10;6;5;4
"Moški";"56-65 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz drugih razlogov";10;9;5;5;6
"Moški";"56-65 let";"Plaèljive prostoèasne aktivnosti";"Da";28;35;42;42;43
"Moški";"56-65 let";"Plaèljive prostoèasne aktivnosti";"Ne, iz finanènih razlogov";27;24;22;22;19
"Moški";"56-65 let";"Plaèljive prostoèasne aktivnosti";"Ne, iz drugih razlogov";45;41;36;36;38
"Moški";"56-65 let";"Razpolaganje z manjšim zneskom denarja";"Da";87;91;94;88;88
"Moški";"56-65 let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz finanènih razlogov";12;7;5;9;8
"Moški";"56-65 let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz drugih razlogov";1;2;1;3;5
"Moški";"56-65 let";"Uporaba interneta doma";"Da";61;65;68;74;78
"Moški";"56-65 let";"Uporaba interneta doma";"Ne, iz finanènih razlogov";7;3;4;4;2
"Moški";"56-65 let";"Uporaba interneta doma";"Ne, iz drugih razlogov";32;32;27;22;19
"Moški";" 66 ali veè let";"Nova oblaèila";"Da";84;93;91;90;89
"Moški";" 66 ali veè let";"Nova oblaèila";"Ne, iz finanènih razlogov";10;4;4;7;6
"Moški";" 66 ali veè let";"Nova oblaèila";"Ne, iz drugih razlogov";6;3;5;3;5
"Moški";" 66 ali veè let";"Dva para èevljev";"Da";99;99;99;99;98
"Moški";" 66 ali veè let";"Dva para èevljev";"Ne, iz finanènih razlogov";1;1;1;1;1
"Moški";" 66 ali veè let";"Dva para èevljev";"Ne, iz drugih razlogov";0;0;0;0;0
"Moški";" 66 ali veè let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Da";74;81;86;87;87
"Moški";" 66 ali veè let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz finanènih razlogov";10;6;4;4;4
"Moški";" 66 ali veè let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz drugih razlogov";16;14;10;9;9
"Moški";" 66 ali veè let";"Plaèljive prostoèasne aktivnosti";"Da";26;32;38;38;40
"Moški";" 66 ali veè let";"Plaèljive prostoèasne aktivnosti";"Ne, iz finanènih razlogov";16;14;12;13;13
"Moški";" 66 ali veè let";"Plaèljive prostoèasne aktivnosti";"Ne, iz drugih razlogov";58;54;50;49;47
"Moški";" 66 ali veè let";"Razpolaganje z manjšim zneskom denarja";"Da";89;93;94;88;87
"Moški";" 66 ali veè let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz finanènih razlogov";9;4;4;6;6
"Moški";" 66 ali veè let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz drugih razlogov";3;3;2;5;7
"Moški";" 66 ali veè let";"Uporaba interneta doma";"Da";35;43;45;51;52
"Moški";" 66 ali veè let";"Uporaba interneta doma";"Ne, iz finanènih razlogov";5;3;3;3;2
"Moški";" 66 ali veè let";"Uporaba interneta doma";"Ne, iz drugih razlogov";60;54;52;46;46
"Ženske";"16-25 let";"Nova oblaèila";"Da";91;95;97;96;98
"Ženske";"16-25 let";"Nova oblaèila";"Ne, iz finanènih razlogov";8;4;3;3;2
"Ženske";"16-25 let";"Nova oblaèila";"Ne, iz drugih razlogov";1;0;0;0;0
"Ženske";"16-25 let";"Dva para èevljev";"Da";99;99;100;99;100
"Ženske";"16-25 let";"Dva para èevljev";"Ne, iz finanènih razlogov";1;1;0;1;0
"Ženske";"16-25 let";"Dva para èevljev";"Ne, iz drugih razlogov";0;0;0;0;0
"Ženske";"16-25 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Da";90;91;93;95;96
"Ženske";"16-25 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz finanènih razlogov";7;6;5;3;3
"Ženske";"16-25 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz drugih razlogov";3;3;2;2;2
"Ženske";"16-25 let";"Plaèljive prostoèasne aktivnosti";"Da";51;63;70;71;72
"Ženske";"16-25 let";"Plaèljive prostoèasne aktivnosti";"Ne, iz finanènih razlogov";22;19;13;12;10
"Ženske";"16-25 let";"Plaèljive prostoèasne aktivnosti";"Ne, iz drugih razlogov";28;18;17;17;18
"Ženske";"16-25 let";"Razpolaganje z manjšim zneskom denarja";"Da";88;91;93;93;93
"Ženske";"16-25 let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz finanènih razlogov";11;7;7;6;6
"Ženske";"16-25 let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz drugih razlogov";2;2;1;1;1
"Ženske";"16-25 let";"Uporaba interneta doma";"Da";97;97;98;99;99
"Ženske";"16-25 let";"Uporaba interneta doma";"Ne, iz finanènih razlogov";2;1;1;1;0
"Ženske";"16-25 let";"Uporaba interneta doma";"Ne, iz drugih razlogov";1;1;1;1;0
"Ženske";"26-35 let";"Nova oblaèila";"Da";92;95;97;96;98
"Ženske";"26-35 let";"Nova oblaèila";"Ne, iz finanènih razlogov";7;5;3;3;2
"Ženske";"26-35 let";"Nova oblaèila";"Ne, iz drugih razlogov";1;0;0;0;0
"Ženske";"26-35 let";"Dva para èevljev";"Da";99;99;100;99;100
"Ženske";"26-35 let";"Dva para èevljev";"Ne, iz finanènih razlogov";1;1;0;1;0
"Ženske";"26-35 let";"Dva para èevljev";"Ne, iz drugih razlogov";0;0;0;0;0
"Ženske";"26-35 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Da";90;91;94;95;96
"Ženske";"26-35 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz finanènih razlogov";7;6;4;3;2
"Ženske";"26-35 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz drugih razlogov";3;3;3;2;2
"Ženske";"26-35 let";"Plaèljive prostoèasne aktivnosti";"Da";41;52;62;59;59
"Ženske";"26-35 let";"Plaèljive prostoèasne aktivnosti";"Ne, iz finanènih razlogov";22;19;16;16;12
"Ženske";"26-35 let";"Plaèljive prostoèasne aktivnosti";"Ne, iz drugih razlogov";37;29;22;25;29
"Ženske";"26-35 let";"Razpolaganje z manjšim zneskom denarja";"Da";90;94;95;92;92
"Ženske";"26-35 let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz finanènih razlogov";9;5;4;6;4
"Ženske";"26-35 let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz drugih razlogov";1;1;1;3;4
"Ženske";"26-35 let";"Uporaba interneta doma";"Da";95;96;98;98;99
"Ženske";"26-35 let";"Uporaba interneta doma";"Ne, iz finanènih razlogov";1;1;0;1;1
"Ženske";"26-35 let";"Uporaba interneta doma";"Ne, iz drugih razlogov";3;3;2;1;0
"Ženske";"36-45 let";"Nova oblaèila";"Da";92;96;96;95;96
"Ženske";"36-45 let";"Nova oblaèila";"Ne, iz finanènih razlogov";8;3;4;4;3
"Ženske";"36-45 let";"Nova oblaèila";"Ne, iz drugih razlogov";1;0;0;0;1
"Ženske";"36-45 let";"Dva para èevljev";"Da";100;99;100;99;99
"Ženske";"36-45 let";"Dva para èevljev";"Ne, iz finanènih razlogov";0;0;0;1;1
"Ženske";"36-45 let";"Dva para èevljev";"Ne, iz drugih razlogov";0;0;0;0;0
"Ženske";"36-45 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Da";87;90;93;95;95
"Ženske";"36-45 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz finanènih razlogov";7;5;4;3;2
"Ženske";"36-45 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz drugih razlogov";6;5;4;2;3
"Ženske";"36-45 let";"Plaèljive prostoèasne aktivnosti";"Da";39;52;57;57;58
"Ženske";"36-45 let";"Plaèljive prostoèasne aktivnosti";"Ne, iz finanènih razlogov";22;19;17;16;13
"Ženske";"36-45 let";"Plaèljive prostoèasne aktivnosti";"Ne, iz drugih razlogov";39;29;26;27;29
"Ženske";"36-45 let";"Razpolaganje z manjšim zneskom denarja";"Da";91;93;94;90;89
"Ženske";"36-45 let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz finanènih razlogov";7;6;5;7;7
"Ženske";"36-45 let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz drugih razlogov";1;1;1;3;4
"Ženske";"36-45 let";"Uporaba interneta doma";"Da";92;94;96;98;98
"Ženske";"36-45 let";"Uporaba interneta doma";"Ne, iz finanènih razlogov";2;1;1;1;1
"Ženske";"36-45 let";"Uporaba interneta doma";"Ne, iz drugih razlogov";6;4;3;2;2
"Ženske";"46-55 let";"Nova oblaèila";"Da";87;94;95;93;95
"Ženske";"46-55 let";"Nova oblaèila";"Ne, iz finanènih razlogov";12;6;5;6;5
"Ženske";"46-55 let";"Nova oblaèila";"Ne, iz drugih razlogov";1;0;0;0;0
"Ženske";"46-55 let";"Dva para èevljev";"Da";98;99;99;98;99
"Ženske";"46-55 let";"Dva para èevljev";"Ne, iz finanènih razlogov";2;1;1;2;1
"Ženske";"46-55 let";"Dva para èevljev";"Ne, iz drugih razlogov";0;0;0;0;0
"Ženske";"46-55 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Da";82;85;90;92;92
"Ženske";"46-55 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz finanènih razlogov";11;9;6;4;4
"Ženske";"46-55 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz drugih razlogov";7;6;4;4;4
"Ženske";"46-55 let";"Plaèljive prostoèasne aktivnosti";"Da";33;42;48;52;52
"Ženske";"46-55 let";"Plaèljive prostoèasne aktivnosti";"Ne, iz finanènih razlogov";27;24;21;18;18
"Ženske";"46-55 let";"Plaèljive prostoèasne aktivnosti";"Ne, iz drugih razlogov";39;34;31;30;29
"Ženske";"46-55 let";"Razpolaganje z manjšim zneskom denarja";"Da";88;91;93;88;90
"Ženske";"46-55 let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz finanènih razlogov";11;7;6;9;7
"Ženske";"46-55 let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz drugih razlogov";1;1;1;3;3
"Ženske";"46-55 let";"Uporaba interneta doma";"Da";79;83;86;89;91
"Ženske";"46-55 let";"Uporaba interneta doma";"Ne, iz finanènih razlogov";3;3;3;1;1
"Ženske";"46-55 let";"Uporaba interneta doma";"Ne, iz drugih razlogov";18;14;11;10;8
"Ženske";"56-65 let";"Nova oblaèila";"Da";85;92;91;90;92
"Ženske";"56-65 let";"Nova oblaèila";"Ne, iz finanènih razlogov";12;7;8;10;7
"Ženske";"56-65 let";"Nova oblaèila";"Ne, iz drugih razlogov";3;1;1;0;2
"Ženske";"56-65 let";"Dva para èevljev";"Da";99;99;99;98;99
"Ženske";"56-65 let";"Dva para èevljev";"Ne, iz finanènih razlogov";1;1;1;2;1
"Ženske";"56-65 let";"Dva para èevljev";"Ne, iz drugih razlogov";0;0;0;0;0
"Ženske";"56-65 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Da";79;84;89;88;88
"Ženske";"56-65 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz finanènih razlogov";11;8;6;7;5
"Ženske";"56-65 let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz drugih razlogov";10;8;4;5;8
"Ženske";"56-65 let";"Plaèljive prostoèasne aktivnosti";"Da";34;42;49;46;45
"Ženske";"56-65 let";"Plaèljive prostoèasne aktivnosti";"Ne, iz finanènih razlogov";26;25;23;24;22
"Ženske";"56-65 let";"Plaèljive prostoèasne aktivnosti";"Ne, iz drugih razlogov";40;33;29;30;33
"Ženske";"56-65 let";"Razpolaganje z manjšim zneskom denarja";"Da";88;92;94;84;84
"Ženske";"56-65 let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz finanènih razlogov";10;7;5;12;10
"Ženske";"56-65 let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz drugih razlogov";2;1;1;4;6
"Ženske";"56-65 let";"Uporaba interneta doma";"Da";62;66;69;72;77
"Ženske";"56-65 let";"Uporaba interneta doma";"Ne, iz finanènih razlogov";5;4;4;5;2
"Ženske";"56-65 let";"Uporaba interneta doma";"Ne, iz drugih razlogov";33;29;28;23;21
"Ženske";" 66 ali veè let";"Nova oblaèila";"Da";77;86;85;85;83
"Ženske";" 66 ali veè let";"Nova oblaèila";"Ne, iz finanènih razlogov";15;9;9;10;10
"Ženske";" 66 ali veè let";"Nova oblaèila";"Ne, iz drugih razlogov";8;5;6;5;7
"Ženske";" 66 ali veè let";"Dva para èevljev";"Da";99;98;99;98;98
"Ženske";" 66 ali veè let";"Dva para èevljev";"Ne, iz finanènih razlogov";1;1;1;2;2
"Ženske";" 66 ali veè let";"Dva para èevljev";"Ne, iz drugih razlogov";0;0;0;0;1
"Ženske";" 66 ali veè let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Da";68;75;81;81;83
"Ženske";" 66 ali veè let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz finanènih razlogov";11;7;6;7;5
"Ženske";" 66 ali veè let";"Druženje ob pijaèi, na kosilu/veèerji vsaj enkrat na mesec";"Ne, iz drugih razlogov";21;17;13;12;13
"Ženske";" 66 ali veè let";"Plaèljive prostoèasne aktivnosti";"Da";23;27;32;33;36
"Ženske";" 66 ali veè let";"Plaèljive prostoèasne aktivnosti";"Ne, iz finanènih razlogov";20;19;16;18;16
"Ženske";" 66 ali veè let";"Plaèljive prostoèasne aktivnosti";"Ne, iz drugih razlogov";57;54;52;49;48
"Ženske";" 66 ali veè let";"Razpolaganje z manjšim zneskom denarja";"Da";88;91;92;82;81
"Ženske";" 66 ali veè let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz finanènih razlogov";9;5;5;10;10
"Ženske";" 66 ali veè let";"Razpolaganje z manjšim zneskom denarja";"Ne, iz drugih razlogov";3;3;3;9;8
"Ženske";" 66 ali veè let";"Uporaba interneta doma";"Da";25;28;32;40;44
"Ženske";" 66 ali veè let";"Uporaba interneta doma";"Ne, iz finanènih razlogov";5;4;5;4;4
"Ženske";" 66 ali veè let";"Uporaba interneta doma";"Ne, iz drugih razlogov";71;68;64;56;53
